GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,0,654,2,78,0,114,2,51,0,13
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,5,585,6,80,2,84,6,45,0,8
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,44,0,0,0,11,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,4,712,14,146,2,166,14,87,0,12
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,39,3085,39,399,7,409,37,232,0,39
Apache Commons Codec,org.apache.commons.codec.language,Soundex,7,227,2,32,3,48,4,26,2,11
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,9,0,6,0,5,0
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,153,0,12,0,37,0,18,0,12
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,45,0,0,3,11,1,5,1,5
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,0,464,0,74,0,86,0,46,0,9
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,33,0,0,0,9,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,16,773,3,37,3,125,3,24,0,7
Apache Commons Codec,org.apache.commons.codec.digest,Crypt,0,50,0,8,0,13,0,9,0,5
Apache Commons Codec,org.apache.commons.codec.digest,Md5Crypt,0,342,1,27,0,66,1,21,0,8
Apache Commons Codec,org.apache.commons.codec.digest,B64,0,63,0,4,0,11,0,5,0,3
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5951,1,27,1,150,2,26,1,13
Apache Commons Codec,org.apache.commons.codec.digest,MessageDigestAlgorithms,3,0,0,0,2,0,1,0,1,0
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,9,227,0,2,3,61,3,53,3,52
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec.Context,59,3,0,0,3,2,1,1,1,1
Apache Commons Codec,org.apache.commons.codec.binary,StringUtils,0,121,0,8,0,28,0,22,0,18
Apache Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,24,0,0,0,6,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.binary,Base32,133,2231,12,59,12,145,12,37,0,9
Apache Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,24,0,0,0,6,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,338,0,50,0,57,0,38,0,13
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec,1,390,2,56,0,76,2,46,0,19
Apache Commons Codec,org.apache.commons.codec.binary,Hex,7,369,1,13,1,48,2,22,1,16
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,0,152,1,21,0,38,1,16,0,6
Apache Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,24,0,0,0,6,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecInputStream,14,194,1,33,3,44,3,22,2,6
Apache Commons Codec,org.apache.commons.codec.binary,Base64,30,1906,7,95,4,144,8,72,1,26
Apache Commons Codec,org.apache.commons.codec.binary,Base32InputStream,0,24,0,0,0,6,0,3,0,3
Apache Commons Codec,org.apache.commons.codec,StringEncoderComparator,6,30,0,0,3,11,1,2,1,2
Apache Commons Codec,org.apache.commons.codec,CharEncoding,0,3,0,0,0,1,0,1,0,1
Apache Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4
Apache Commons Codec,org.apache.commons.codec,Charsets,5,30,1,3,1,8,2,4,1,3
Apache Commons Codec,org.apache.commons.codec.net,BCodec,27,119,2,18,7,37,3,21,1,13
Apache Commons Codec,org.apache.commons.codec.net,QCodec,27,335,2,40,7,97,3,35,1,16
Apache Commons Codec,org.apache.commons.codec.net,Utils,0,25,0,2,0,5,0,3,0,2
Apache Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,4,324,0,40,1,81,1,38,1,18
Apache Commons Codec,org.apache.commons.codec.net,URLCodec,3,346,0,46,1,86,1,37,1,14
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,8,169,2,16,2,38,2,11,0,4
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.SomeLanguages,5,90,1,9,2,18,2,11,1,7
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,48,619,6,34,8,98,6,27,1,11
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},13,5,0,0,5,2,5,2,5,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.new Languages.LanguageSet() {...},5,13,0,0,1,6,1,6,1,6
Apache Commons Codec,org.apache.commons.codec.language.bm,RuleType,0,57,0,0,0,8,0,5,0,5
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.RulesApplication,5,98,1,9,1,27,1,9,0,5
Apache Commons Codec,org.apache.commons.codec.language.bm,NameType,0,57,0,0,0,8,0,5,0,5
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,19,0,0,0,4,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme,21,58,0,0,2,16,1,8,1,8
Apache Commons Codec,org.apache.commons.codec.language.bm,BeiderMorseEncoder,0,109,0,4,0,28,0,12,0,10
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.PhonemeList,0,9,0,0,0,4,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,ResourceConstants,3,0,0,0,1,0,1,0,1,0
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang.LangRule,0,18,0,0,0,6,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.LanguageSet,0,14,0,2,0,2,0,3,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.new Object() {...},3,23,0,0,0,1,0,1,0,1
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.Phoneme.new Comparator() {...},0,44,0,8,0,10,0,6,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine.PhonemeBuilder,0,146,1,15,0,35,1,14,0,7
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,28,0,4,0,3,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,5,132,0,14,0,30,0,13,0,6
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,11,0,0,0,2,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,11,0,0,0,2,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,25,0,4,0,2,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,26,0,4,0,2,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule() {...},31,21,0,0,6,3,1,1,1,1
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,35,212,3,25,3,49,3,17,1,5
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,5,0,0,0,2,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,11,0,0,0,2,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule.new Rule.RPattern() {...},0,10,0,2,0,2,0,3,0,2
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,154,812,12,108,19,163,15,67,4,18
